2024-09-14 17:24:00 - INFO - Rank: 107, Title: Ookami Kodomo no Ame to Yuki, Rating: 8.56, Episodes: 1, Type: Movie , Aired: Jul 2012 - Jul 2012
2024-09-14 17:24:00 - INFO - Rank: 108, Title: Doupo Cangqiong: San Nian Zhi Yue, Rating: 8.56, Episodes: 1, Type: ONA , Aired: Oct 2021 - Jan 2022
2024-09-14 17:24:00 - INFO - Rank: 109, Title: Yojouhan Shinwa Taikei, Rating: 8.56, Episodes: 1, Type: TV , Aired: Apr 2010 - Jul 2010
2024-09-14 17:24:00 - INFO - Rank: 110, Title: Shingeki no Kyojin, Rating: 8.55, Episodes: 2, Type: TV , Aired: Apr 2013 - Sep 2013
2024-09-14 17:24:00 - INFO - Rank: 111, Title: Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni, Rating: 8.55, Episodes: 1, Type: Movie , Aired: Jul 1997 - Jul 1997
2024-09-14 17:24:00 - INFO - Rank: 112, Title: Shouwa Genroku Rakugo Shinjuu, Rating: 8.55, Episodes: 1, Type: TV , Aired: Jan 2016 - Apr 2016
2024-09-14 17:24:00 - INFO - Rank: 113, Title: Slam Dunk, Rating: 8.55, Episodes: 1, Type: TV , Aired: Oct 1993 - Mar 1996
2024-09-14 17:24:00 - INFO - Rank: 114, Title: Kimi no Suizou wo Tabetai, Rating: 8.55, Episodes: 1, Type: Movie , Aired: Sep 2018 - Sep 2018
2024-09-14 17:24:00 - INFO - Rank: 115, Title: Perfect Blue, Rating: 8.55, Episodes: 1, Type: Movie , Aired: Feb 1998 - Feb 1998
2024-09-14 17:24:00 - INFO - Rank: 116, Title: Haikyuu!! To the Top Part 2, Rating: 8.55, Episodes: 1, Type: TV , Aired: Oct 2020 - Dec 2020
2024-09-14 17:24:00 - INFO - Rank: 117, Title: "Oshi no Ko" 2nd Season, Rating: 8.54, Episodes: 1, Type: TV , Aired: Jul 2024 - Oct 2024
2024-09-14 17:24:00 - INFO - Rank: 118, Title: Fate/Zero 2nd Season, Rating: 8.54, Episodes: 1, Type: TV , Aired: Apr 2012 - Jun 2012
2024-09-14 17:24:00 - INFO - Rank: 119, Title: Fruits Basket 2nd Season, Rating: 8.54, Episodes: 2, Type: TV , Aired: Apr 2020 - Sep 2020
2024-09-14 17:24:00 - INFO - Rank: 120, Title: Zoku Natsume Yuujinchou, Rating: 8.54, Episodes: 1, Type: TV , Aired: Jan 2009 - Mar 2009
2024-09-14 17:24:00 - INFO - Rank: 121, Title: JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3, Rating: 8.54, Episodes: 1, Type: ONA , Aired: Dec 2022 - Dec 2022
2024-09-14 17:24:00 - INFO - Rank: 122, Title: Mushishi: Hihamukage, Rating: 8.53, Episodes: Special, Type: TV , Aired: Jan 2014 - Jan 2014
2024-09-14 17:24:00 - INFO - Rank: 123, Title: Steins;Gate 0, Rating: 8.53, Episodes: 2, Type: TV , Aired: Apr 2018 - Sep 2018
2024-09-14 17:24:00 - INFO - Rank: 124, Title: Shingeki no Kyojin Season 2, Rating: 8.52, Episodes: 1, Type: TV , Aired: Apr 2017 - Jun 2017
2024-09-14 17:24:00 - INFO - Rank: 125, Title: Shoujo☆Kageki Revue Starlight Movie, Rating: 8.52, Episodes: 1, Type: Movie , Aired: Jun 2021 - Jun 2021
2024-09-14 17:24:00 - INFO - Rank: 126, Title: Bakuman. 3rd Season, Rating: 8.52, Episodes: 2, Type: TV , Aired: Oct 2012 - Mar 2013
2024-09-14 17:24:00 - INFO - Rank: 127, Title: Gintama Movie 1: Shinyaku Benizakura-hen, Rating: 8.52, Episodes: 1, Type: Movie , Aired: Apr 2010 - Apr 2010
2024-09-14 17:24:00 - INFO - Rank: 128, Title: Gintama.: Porori-hen, Rating: 8.52, Episodes: 1, Type: TV , Aired: Oct 2017 - Dec 2017
2024-09-14 17:24:00 - INFO - Rank: 129, Title: Hotaru no Haka, Rating: 8.52, Episodes: 1, Type: Movie , Aired: Apr 1988 - Apr 1988
2024-09-14 17:24:00 - INFO - Rank: 130, Title: Koukaku Kidoutai: Stand Alone Complex 2nd GIG, Rating: 8.52, Episodes: 2, Type: TV , Aired: Jan 2004 - Jan 2005
2024-09-14 17:24:00 - INFO - Rank: 131, Title: Kara no Kyoukai Movie 5: Mujun Rasen, Rating: 8.51, Episodes: 1, Type: Movie , Aired: Aug 2008 - Aug 2008
2024-09-14 17:24:00 - INFO - Rank: 132, Title: Samurai Champloo, Rating: 8.51, Episodes: 2, Type: TV , Aired: May 2004 - Mar 2005
2024-09-14 17:24:00 - INFO - Rank: 133, Title: Sora yori mo Tooi Basho, Rating: 8.51, Episodes: 1, Type: TV , Aired: Jan 2018 - Mar 2018
2024-09-14 17:24:00 - INFO - Rank: 134, Title: Tian Guan Cifu Special, Rating: 8.51, Episodes: 1, Type: ONA , Aired: Feb 2021 - Feb 2021
2024-09-14 17:24:00 - INFO - Rank: 135, Title: Yuru Camp△ Season 2, Rating: 8.51, Episodes: 1, Type: TV , Aired: Jan 2021 - Apr 2021
2024-09-14 17:24:00 - INFO - Rank: 136, Title: Spy x Family, Rating: 8.50, Episodes: 1, Type: TV , Aired: Apr 2022 - Jun 2022
2024-09-14 17:24:00 - INFO - Rank: 137, Title: JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, Rating: 8.50, Episodes: 3, Type: TV , Aired: Apr 2016 - Dec 2016
2024-09-14 17:24:00 - INFO - Rank: 138, Title: Ousama Ranking, Rating: 8.50, Episodes: 2, Type: TV , Aired: Oct 2021 - Mar 2022
2024-09-14 17:24:00 - INFO - Rank: 139, Title: Mob Psycho 100, Rating: 8.49, Episodes: 1, Type: TV , Aired: Jul 2016 - Sep 2016
2024-09-14 17:24:00 - INFO - Rank: 140, Title: One Punch Man, Rating: 8.49, Episodes: 1, Type: TV , Aired: Oct 2015 - Dec 2015
2024-09-14 17:24:00 - INFO - Rank: 141, Title: Yakusoku no Neverland, Rating: 8.49, Episodes: 1, Type: TV , Aired: Jan 2019 - Mar 2019
2024-09-14 17:24:00 - INFO - Rank: 142, Title: Summertime Render, Rating: 8.48, Episodes: 2, Type: TV , Aired: Apr 2022 - Sep 2022
2024-09-14 17:24:00 - INFO - Rank: 143, Title: Uchuu Kyoudai, Rating: 8.48, Episodes: 9, Type: TV , Aired: Apr 2012 - Mar 2014
2024-09-14 17:24:00 - INFO - Rank: 144, Title: Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari, Rating: 8.48, Episodes: 1, Type: Movie , Aired: Oct 2013 - Oct 2013
2024-09-14 17:24:00 - INFO - Rank: 145, Title: Ansatsu Kyoushitsu 2nd Season, Rating: 8.48, Episodes: 2, Type: TV , Aired: Jan 2016 - Jul 2016
2024-09-14 17:24:00 - INFO - Rank: 146, Title: Aria the Origination, Rating: 8.48, Episodes: 1, Type: TV , Aired: Jan 2008 - Apr 2008
2024-09-14 17:24:00 - INFO - Rank: 147, Title: Chainsaw Man, Rating: 8.48, Episodes: 1, Type: TV , Aired: Oct 2022 - Dec 2022
2024-09-14 17:24:00 - INFO - Rank: 148, Title: Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly, Rating: 8.48, Episodes: 1, Type: Movie , Aired: Jan 2019 - Jan 2019
2024-09-14 17:24:00 - INFO - Rank: 149, Title: Nichijou, Rating: 8.47, Episodes: 2, Type: TV , Aired: Apr 2011 - Sep 2011
2024-09-14 17:24:00 - INFO - Rank: 150, Title: Pluto, Rating: 8.47, Episodes: 8, Type: ONA , Aired: Oct 2023 - Oct 2023
2024-09-14 17:24:02 - INFO - Anillist : Title: Sousou no Frieren - Genres: Adventure, Drama, Fantasy - Type: TV Show - Episodes: 28 - Rating: 9.1 - Aired Year: 2023
