Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Rainbow: Nisha Rokubou no Shichinin,,,TV,2.0,,,,,8.47
Mo Dao Zu Shi,,,ONA,1.0,,,,,8.46
Mo Dao Zu Shi: Xian Yun Pian,,,ONA,8.0,,,,,8.46
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,,,TV,1.0,,,,,8.46
Yuu☆Yuu☆Hakusho,,,TV,1.0,,,,,8.46
Banana Fish,,,TV,2.0,,,,,8.46
Chihayafuru 3,,,TV,2.0,,,,,8.46
Gintama: The Semi-Final,,,Special,2.0,,,,,8.46
Karakai Jouzu no Takagi-san Movie,,,Movie,1.0,,,,,8.45
Kimetsu no Yaiba,,,TV,2.0,,,,,8.45
Owarimonogatari,,,TV,1.0,,,,,8.45
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,,,Movie,1.0,,,,,8.45
Zoku Owarimonogatari,,,TV,6.0,,,,,8.44
Bungou Stray Dogs 4th Season,,,TV,1.0,,,,,8.44
Golden Kamuy 3rd Season,,,TV,1.0,,,,,8.44
Haikyuu!!,,,TV,2.0,,,,,8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,,,TV,2.0,,,,,8.44
Jujutsu Kaisen 0 Movie,,,Movie,1.0,,,,,8.43
Mushishi Zoku Shou: Odoro no Michi,,,TV,,,,,,8.43
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,,,TV,1.0,,,,,8.43
Grand Blue,,,TV,1.0,,,,,8.43
Gintama: Yorinuki Gintama-san on Theater 2D,,,Movie,2.0,,,,,8.42
Girls Band Cry,,,TV,1.0,,,,,8.42
Hunter x Hunter,,,TV,6.0,,,,,8.42
Tian Guan Cifu,,,ONA,1.0,,,,,8.42
Wu Liuqi: Xuanwu Guo Pian,,,ONA,1.0,,,,,8.42
Kono Oto Tomare! Part 2,,,TV,1.0,,,,,8.42
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,,,Movie,1.0,,,,,8.42
Koukaku Kidoutai: Stand Alone Complex,,,TV,2.0,,,,,8.42
Mononoke,,,TV,1.0,,,,,8.42
Saenai Heroine no Sodatekata Fine,,,Movie,1.0,,,,,8.42
